Mean,Variance,Kurtosis,Condition
-0.000227915,0.001980682,1.617881475,Healthy
2.98033E-05,0.001807558,1.41271213,Healthy
0.000103737,0.001697307,1.830303158,Healthy
0.000277109,0.001849658,1.559837122,Healthy
-0.000459735,0.001735244,1.443381288,Healthy
-0.000293918,0.001852254,1.445111117,Healthy
0.000216405,0.00181361,1.688152183,Healthy
0.000324446,0.001707769,1.401529113,Healthy
-0.000206343,0.001833,1.781365183,Healthy
8.6378E-05,0.001762535,1.396728402,Healthy
-0.000503709,0.001778197,1.547153187,Healthy
-6.66012E-05,0.002069338,1.581055535,Healthy
0.000352544,0.00167266,1.694418511,Healthy
4.79373E-05,0.001647954,1.801833594,Healthy
-0.000183264,0.001623416,1.598582534,Healthy
0.00021931,0.001749627,1.594277466,Healthy
0.000160489,0.001794913,1.444135955,Healthy
-0.000557146,0.001638131,1.584924575,Healthy
0.000154631,0.001886138,1.554867121,Healthy
0.00017919,0.001790586,1.3702564,Healthy
8.13768E-05,0.001747286,1.503714921,Healthy
-8.02796E-05,0.001804949,1.659562638,Healthy
-0.0002908,0.001807785,1.303295489,Healthy
0.000215902,0.00185712,1.626467559,Healthy
0.000629934,0.001939997,1.478783257,Healthy
5.85671E-05,0.002555973,1.002577018,Healthy
-0.000161691,0.002535243,0.986126457,Healthy
-0.00029681,0.002090207,1.228592793,Healthy
-2.90016E-05,0.002127066,1.403418548,Healthy
0.000766259,0.001940646,1.447429748,Healthy
5.04716E-05,0.001802825,1.492086142,Healthy
-0.000285383,0.001987479,1.372354269,Healthy
-0.000413331,0.001741236,1.524265495,Healthy
-0.000383497,0.001736199,1.508678832,Healthy
3.63786E-06,0.002081683,1.249765801,Healthy
-5.10176E-05,0.001718635,1.486229617,Healthy
0.000258923,0.001946998,1.512173067,Healthy
